Voter_A,Voter_B,Voter_C,Voter_D,Voter_E,VP_1,VP_2,VP_3,Status Quo,Policy Decision,Total Euclidean Distance,Total Manhattan Distance,Distance first dimension,Distance second dimension,Distance third dimension,Number of dimensions,Number of VPs,Model,Optimization?
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)",NA,NA,"(5.0, 4.5)","(4.0, 2.5)",2.23606797749979,3.0,1.0,2.0,2.23606797749979,2,1,history and drift,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)",NA,NA,"(4.088567362594212, 2.0885673625942123)","(4.0, 2.5)",0.4208574495474412,0.49999999999999956,0.08856736259421183,0.4114326374057877,0.4208574495474412,2,1,history and drift,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)",NA,NA,"(4.120672327631896, 2.120672327631896)","(4.0, 2.5)",0.39805940973716863,0.49999999999999956,0.12067232763189573,0.37932767236810383,0.39805940973716863,2,1,history and drift,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)",NA,NA,"(3.766122290354052, 1.7661222903540523)","(3.9000000000000004, 2.5)",0.7459890976785296,0.86775541929189592,0.13387770964594825,0.7338777096459477,0.7459890976785296,2,1,history and drift,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)",NA,NA,"(3.9482997252542016, 2.0482997252542012)","(4.0, 2.5)",0.4546493776683535,0.50340054949159718,0.051700274745798414,0.45170027474579877,0.4546493776683535,2,1,history and drift,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)",NA,NA,"(4.2839237893143824, 2.283923789314382)","(4.0, 2.5)",0.35679356351102165,0.50000000000000044,0.28392378931438245,0.216076210685618,0.35679356351102165,2,1,history and drift,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)",NA,NA,"(4.113861234476392, 2.113861234476392)","(4.0, 2.5)",0.40257611324640685,0.5,0.11386123447639207,0.38613876552360793,0.40257611324640685,2,1,history and drift,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)",NA,NA,"(4.306182237204916, 2.306182237204916)","(4.0, 2.5)",0.36237120133186473,0.5,0.3061822372049159,0.19381776279508411,0.36237120133186473,2,1,history and drift,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)",NA,NA,"(3.7301422069578773, 1.7301422069578776)","(3.9000000000000004, 2.5)",0.7883734466386016,0.93971558608424544,0.169857793042123,0.7698577930421224,0.7883734466386016,2,1,history and drift,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)",NA,NA,"(3.669662798589738, 1.7696627985897377)","(3.9000000000000004, 2.6)",0.8616931555950402,1.0606744028205246,0.23033720141026226,0.8303372014102623,0.8616931555950402,2,1,history and drift,0
