Voter_A,Voter_B,Voter_C,Voter_D,Voter_E,VP_1,VP_2,VP_3,Status Quo,Policy Decision,Total Euclidean Distance,Total Manhattan Distance,Distance first dimension,Distance second dimension,Distance third dimension,Number of dimensions,Number of VPs,Model,Optimization?
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)",NA,"(5.0, 4.5)","(3.7, 3.6)",1.5811388300841893,2.1999999999999997,1.2999999999999998,0.8999999999999999,1.5811388300841893,2,2,random,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)",NA,"(8.73290987431275, 4.147003654911863)","(4.0, 2.5)",5.011292938719524,6.3799135292246127,4.73290987431275,1.6470036549118632,5.011292938719524,2,2,random,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)",NA,"(6.207715820489152, -0.2215979247871287)","(4.0, 2.5)",3.504440669813614,4.9293137452762803,2.2077158204891516,2.7215979247871287,3.504440669813614,2,2,random,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)",NA,"(-1.0450698844484876, 4.165282395502873)","(3.3000000000000003, 2.5)",4.653256682960117,6.0103522799513609,4.345069884448488,1.6652823955028726,4.653256682960117,2,2,random,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)",NA,"(8.519888751759474, 2.4674610450560293)","(4.0, 2.5)",4.520005875203113,4.5524277067034449,4.519888751759474,0.032538954943970744,4.520005875203113,2,2,random,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)",NA,"(4.330875478857775, -0.5650208639011705)","(4.0, 2.5)",3.082828486740519,3.3958963427589453,0.3308754788577746,3.0650208639011707,3.082828486740519,2,2,random,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)",NA,"(1.47600773562502, 5.529200282986084)","(3.0, 4.5)",1.8389686360494062,2.5531925473610637,1.52399226437498,1.0292002829860838,1.8389686360494062,2,2,random,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)",NA,"(2.024841434381298, 4.92278708952065)","(2.2, 4.800000000000001)",0.21390930896656454,0.29794565513935156,0.17515856561870224,0.12278708952064932,0.21390930896656454,2,2,random,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)",NA,"(-0.07891750656277141, 5.5311758596618334)","(3.7, 3.0)",4.548303942563801,6.3100933662246046,3.7789175065627716,2.5311758596618334,4.548303942563801,2,2,random,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)",NA,"(5.239521901791657, 0.08829506399950593)","(4.0, 2.5)",2.711592750276183,3.6512268377921515,1.2395219017916572,2.4117049360004943,2.711592750276183,2,2,random,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)",NA,"(-0.4209596370834381, 2.056868294906624)","(2.7, 2.9000000000000004)",3.2328408758300573,3.9640913421768147,3.1209596370834385,0.8431317050933762,3.2328408758300573,2,2,random,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)",NA,"(-0.5776730985433673, 2.100510466158857)","(2.8000000000000003, 2.8000000000000003)",3.44934213562193,4.0771626323845105,3.377673098543368,0.6994895338411431,3.44934213562193,2,2,random,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)",NA,"(4.595044642043353, 3.071898271050672)","(3.9000000000000004, 2.8000000000000003)",0.7463348606580811,0.9669429130940248,0.6950446420433529,0.2718982710506719,0.7463348606580811,2,2,random,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)",NA,"(7.896466033369379, 6.125036224543306)","(4.0, 2.5)",5.3219672282392425,7.5215022579126849,3.8964660333693786,3.6250362245433063,5.3219672282392425,2,2,random,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)",NA,"(0.6410068482464802, 5.76185757562757)","(3.5, 3.7)",3.524925318917597,4.9208507273810893,2.85899315175352,2.0618575756275694,3.524925318917597,2,2,random,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)",NA,"(0.4112313635460898, 6.08717738580244)","(3.6, 3.5)",4.106303963717211,5.7759460222563508,3.1887686364539105,2.5871773858024403,4.106303963717211,2,2,random,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)",NA,"(1.2700573654971397, 7.9847009301029255)","(3.8000000000000003, 3.5)",5.149092363353111,7.0146435646057856,2.5299426345028606,4.4847009301029255,5.149092363353111,2,2,random,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)",NA,"(1.9068022708240668, 1.7273127542583129)","(2.5, 2.6)",1.0552092563940556,1.4658849749176204,0.5931977291759332,0.8726872457416872,1.0552092563940556,2,2,random,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)",NA,"(-0.6502234894699057, -0.28340212839966705)","(4.0, 2.5)",5.419585400231043,7.4336256178695734,4.650223489469906,2.783402128399667,5.419585400231043,2,2,random,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)",NA,"(4.077660800137694, 7.890038019263265)","(3.5, 3.9000000000000004)",4.031636813402472,4.5676988194009587,0.5776608001376937,3.990038019263265,4.031636813402472,2,2,random,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)",NA,"(-0.4029153329157026, -0.38799825287101075)","(4.0, 2.5)",5.265567142997058,7.2909135857867131,4.402915332915702,2.887998252871011,5.265567142997058,2,2,random,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)",NA,"(1.5962735903326863, 1.804150290809178)","(2.3000000000000003, 2.7)",1.1392004042838682,1.5995761188581361,0.7037264096673139,0.8958497091908222,1.1392004042838682,2,2,random,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)",NA,"(7.144854321255827, 3.4636346751928224)","(4.0, 2.5)",3.289179303284548,4.1084889964486493,3.144854321255827,0.9636346751928224,3.289179303284548,2,2,random,0
