Voter_A,Voter_B,Voter_C,Voter_D,Voter_E,VP_1,VP_2,VP_3,Status Quo,Policy Decision,Total Euclidean Distance,Total Manhattan Distance,Distance first dimension,Distance second dimension,Distance third dimension,Number of dimensions,Number of VPs,Model,Optimization?
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)","(2.5,)","(5.0,)","(5.0,)",0.0,0.0,0.0,0.0,0.0,1,3,history and drift,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)","(2.5,)","(4.600407645306027,)","(4.600407645306027,)",0.0,0.0,0.0,0.0,0.0,1,3,history and drift,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)","(2.5,)","(4.283714749106991,)","(4.283714749106991,)",0.0,0.0,0.0,0.0,0.0,1,3,history and drift,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)","(2.5,)","(4.807477364701848,)","(4.807477364701848,)",0.0,0.0,0.0,0.0,0.0,1,3,history and drift,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)","(2.5,)","(4.704738127559321,)","(4.704738127559321,)",0.0,0.0,0.0,0.0,0.0,1,3,history and drift,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)","(2.5,)","(4.89776016175981,)","(4.89776016175981,)",0.0,0.0,0.0,0.0,0.0,1,3,history and drift,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)","(2.5,)","(5.020742801689555,)","(5.020742801689555,)",0.0,0.0,0.0,0.0,0.0,1,3,history and drift,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)","(2.5,)","(4.793058239420523,)","(4.793058239420523,)",0.0,0.0,0.0,0.0,0.0,1,3,history and drift,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)","(2.5,)","(4.74487450726668,)","(4.74487450726668,)",0.0,0.0,0.0,0.0,0.0,1,3,history and drift,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)","(2.5,)","(4.556292588307365,)","(4.556292588307365,)",0.0,0.0,0.0,0.0,0.0,1,3,history and drift,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)","(2.5,)","(4.541250894892187,)","(4.541250894892187,)",0.0,0.0,0.0,0.0,0.0,1,3,history and drift,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)","(2.5,)","(4.282332113874181,)","(4.282332113874181,)",0.0,0.0,0.0,0.0,0.0,1,3,history and drift,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)","(2.5,)","(3.9964296715197554,)","(3.9964296715197554,)",0.0,0.0,0.0,0.0,0.0,1,3,history and drift,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)","(2.5,)","(3.850892712039793,)","(3.850892712039793,)",0.0,0.0,0.0,0.0,0.0,1,3,history and drift,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)","(2.5,)","(3.5000104185846332,)","(3.5000104185846332,)",0.0,0.0,0.0,0.0,0.0,1,3,history and drift,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)","(2.5,)","(3.192289391076458,)","(3.192289391076458,)",0.0,0.0,0.0,0.0,0.0,1,3,history and drift,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)","(2.5,)","(3.8502734053872048,)","(3.8502734053872048,)",0.0,0.0,0.0,0.0,0.0,1,3,history and drift,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)","(2.5,)","(3.7893314537103446,)","(3.7893314537103446,)",0.0,0.0,0.0,0.0,0.0,1,3,history and drift,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)","(2.5,)","(4.094200182450738,)","(4.094200182450738,)",0.0,0.0,0.0,0.0,0.0,1,3,history and drift,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)","(2.5,)","(3.6030574799269908,)","(3.6030574799269908,)",0.0,0.0,0.0,0.0,0.0,1,3,history and drift,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)","(2.5,)","(3.591047727847179,)","(3.591047727847179,)",0.0,0.0,0.0,0.0,0.0,1,3,history and drift,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)","(2.5,)","(3.7273602908330625,)","(3.7273602908330625,)",0.0,0.0,0.0,0.0,0.0,1,3,history and drift,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)","(2.5,)","(3.783376507883012,)","(3.783376507883012,)",0.0,0.0,0.0,0.0,0.0,1,3,history and drift,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)","(2.5,)","(3.7851559141082047,)","(3.7851559141082047,)",0.0,0.0,0.0,0.0,0.0,1,3,history and drift,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)","(2.5,)","(3.936244476932719,)","(3.936244476932719,)",0.0,0.0,0.0,0.0,0.0,1,3,history and drift,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)","(2.5,)","(4.045947576029155,)","(4.045947576029155,)",0.0,0.0,0.0,0.0,0.0,1,3,history and drift,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)","(2.5,)","(3.7648707733310136,)","(3.7648707733310136,)",0.0,0.0,0.0,0.0,0.0,1,3,history and drift,0
