Voter_A,Voter_B,Voter_C,Voter_D,Voter_E,VP_1,VP_2,VP_3,Status Quo,Policy Decision,Total Euclidean Distance,Total Manhattan Distance,Distance first dimension,Distance second dimension,Distance third dimension,Number of dimensions,Number of VPs,Model,Optimization?
"(1.0, 3.0, 4.5)","(4.0, 2.5, 3.5)","(3.0, 6.0, 2.0)","(2.0, 4.5, 2.5)","(2.5, 3.5, 5.0)","(1.0, 3.0, 4.5)","(3.0, 6.0, 2.0)","(2.5, 3.5, 5.0)","(5.0, 4.5, 4.0)","(3.5, 3.0, 3.0)",2.345207879911715,4.0,1.5,1.5,1.0,3,3,random,0
"(1.0, 3.0, 4.5)","(4.0, 2.5, 3.5)","(3.0, 6.0, 2.0)","(2.0, 4.5, 2.5)","(2.5, 3.5, 5.0)","(1.0, 3.0, 4.5)","(3.0, 6.0, 2.0)","(2.5, 3.5, 5.0)","(8.70288017227694, 0.5735267646927387, 2.329760862761205)","(4.0, 2.5, 3.5)",5.215154904648203,7.7995925448229961,4.70288017227694,1.9264732353072613,1.170239137238795,3,3,random,0
"(1.0, 3.0, 4.5)","(4.0, 2.5, 3.5)","(3.0, 6.0, 2.0)","(2.0, 4.5, 2.5)","(2.5, 3.5, 5.0)","(1.0, 3.0, 4.5)","(3.0, 6.0, 2.0)","(2.5, 3.5, 5.0)","(5.111945744878724, 1.2391084553723246, 3.4488437361342545)","(4.0, 2.5, 3.5)",1.6819297815902328,2.4239935533721453,1.1119457448787244,1.2608915446276754,0.051156263865745455,3,3,random,0
"(1.0, 3.0, 4.5)","(4.0, 2.5, 3.5)","(3.0, 6.0, 2.0)","(2.0, 4.5, 2.5)","(2.5, 3.5, 5.0)","(1.0, 3.0, 4.5)","(3.0, 6.0, 2.0)","(2.5, 3.5, 5.0)","(0.07290483505601308, 2.7679300612081477, 0.5675865193793512)","(4.0, 2.5, 3.5)",4.908453093750733,7.1274387067727831,3.927095164943987,0.26793006120814766,2.9324134806206485,3,3,random,0
"(1.0, 3.0, 4.5)","(4.0, 2.5, 3.5)","(3.0, 6.0, 2.0)","(2.0, 4.5, 2.5)","(2.5, 3.5, 5.0)","(1.0, 3.0, 4.5)","(3.0, 6.0, 2.0)","(2.5, 3.5, 5.0)","(-0.7670691821863156, 2.4985935648723485, 8.661349512467744)","(4.0, 2.5, 3.5)",7.025986005939756,9.9298251297817117,4.767069182186315,0.0014064351276514842,5.161349512467744,3,3,random,0
"(1.0, 3.0, 4.5)","(4.0, 2.5, 3.5)","(3.0, 6.0, 2.0)","(2.0, 4.5, 2.5)","(2.5, 3.5, 5.0)","(1.0, 3.0, 4.5)","(3.0, 6.0, 2.0)","(2.5, 3.5, 5.0)","(8.807625809637212, 5.499782951330347, 8.387822635602262)","(4.0, 2.5, 3.5)",7.483500103406688,12.69523139656982,4.807625809637212,2.9997829513303467,4.887822635602262,3,3,random,0
"(1.0, 3.0, 4.5)","(4.0, 2.5, 3.5)","(3.0, 6.0, 2.0)","(2.0, 4.5, 2.5)","(2.5, 3.5, 5.0)","(1.0, 3.0, 4.5)","(3.0, 6.0, 2.0)","(2.5, 3.5, 5.0)","(2.8491139802164867, 2.602005840525285, 6.680946222522941)","(3.5, 2.5, 4.0)",2.760711946275982,3.4338380828317394,0.6508860197835133,0.10200584052528505,2.680946222522941,3,3,random,0
"(1.0, 3.0, 4.5)","(4.0, 2.5, 3.5)","(3.0, 6.0, 2.0)","(2.0, 4.5, 2.5)","(2.5, 3.5, 5.0)","(1.0, 3.0, 4.5)","(3.0, 6.0, 2.0)","(2.5, 3.5, 5.0)","(-0.24134572015129985, 7.31916569302845, 9.222749711734219)","(4.0, 2.5, 3.5)",8.600188123399523,14.783261124913968,4.241345720151299,4.81916569302845,5.7227497117342185,3,3,random,0
"(1.0, 3.0, 4.5)","(4.0, 2.5, 3.5)","(3.0, 6.0, 2.0)","(2.0, 4.5, 2.5)","(2.5, 3.5, 5.0)","(1.0, 3.0, 4.5)","(3.0, 6.0, 2.0)","(2.5, 3.5, 5.0)","(3.417341834263654, 6.365591719923309, 0.2863762853118692)","(3.5, 4.5, 2.5)",2.89609992715013,4.1618736003477856,0.08265816573634588,1.8655917199233087,2.213623714688131,3,3,random,0
"(1.0, 3.0, 4.5)","(4.0, 2.5, 3.5)","(3.0, 6.0, 2.0)","(2.0, 4.5, 2.5)","(2.5, 3.5, 5.0)","(1.0, 3.0, 4.5)","(3.0, 6.0, 2.0)","(2.5, 3.5, 5.0)","(6.604670303968271, 5.112530524962268, 1.5508101345118028)","(4.0, 3.0, 3.5)",3.878973284645489,6.6663906944187357,2.6046703039682706,2.112530524962268,1.9491898654881972,3,3,random,0
