Voter_A,Voter_B,Voter_C,Voter_D,Voter_E,VP_1,VP_2,VP_3,Status Quo,Policy Decision,Total Euclidean Distance,Total Manhattan Distance,Distance first dimension,Distance second dimension,Distance third dimension,Number of dimensions,Number of VPs,Model,Optimization?
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)",NA,"(5.0,)","(5.0,)",0.0,0.0,0.0,0.0,0.0,1,2,history and drift,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)",NA,"(4.8536918149346615,)","(4.8536918149346615,)",0.0,0.0,0.0,0.0,0.0,1,2,history and drift,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)",NA,"(4.897579280051454,)","(4.897579280051454,)",0.0,0.0,0.0,0.0,0.0,1,2,history and drift,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)",NA,"(4.782974363168694,)","(4.782974363168694,)",0.0,0.0,0.0,0.0,0.0,1,2,history and drift,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)",NA,"(4.6641721179864435,)","(4.6641721179864435,)",0.0,0.0,0.0,0.0,0.0,1,2,history and drift,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)",NA,"(4.75548442027893,)","(4.75548442027893,)",0.0,0.0,0.0,0.0,0.0,1,2,history and drift,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)",NA,"(4.849459837960695,)","(4.849459837960695,)",0.0,0.0,0.0,0.0,0.0,1,2,history and drift,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)",NA,"(4.68449638174282,)","(4.68449638174282,)",0.0,0.0,0.0,0.0,0.0,1,2,history and drift,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)",NA,"(4.473240701702775,)","(4.473240701702775,)",0.0,0.0,0.0,0.0,0.0,1,2,history and drift,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)",NA,"(4.924489466193967,)","(4.924489466193967,)",0.0,0.0,0.0,0.0,0.0,1,2,history and drift,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)",NA,"(4.879144052298428,)","(4.879144052298428,)",0.0,0.0,0.0,0.0,0.0,1,2,history and drift,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)",NA,"(4.763586320481385,)","(4.763586320481385,)",0.0,0.0,0.0,0.0,0.0,1,2,history and drift,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)",NA,"(4.615220758712237,)","(4.615220758712237,)",0.0,0.0,0.0,0.0,0.0,1,2,history and drift,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)",NA,"(4.098921136128052,)","(4.098921136128052,)",0.0,0.0,0.0,0.0,0.0,1,2,history and drift,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)",NA,"(4.055394690295821,)","(4.055394690295821,)",0.0,0.0,0.0,0.0,0.0,1,2,history and drift,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)",NA,"(4.102861441171442,)","(4.102861441171442,)",0.0,0.0,0.0,0.0,0.0,1,2,history and drift,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)",NA,"(3.9704679918745343,)","(3.9704679918745343,)",0.0,0.0,0.0,0.0,0.0,1,2,history and drift,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)",NA,"(3.9566541822519685,)","(3.9566541822519685,)",0.0,0.0,0.0,0.0,0.0,1,2,history and drift,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)",NA,"(3.8421948851683867,)","(3.8421948851683867,)",0.0,0.0,0.0,0.0,0.0,1,2,history and drift,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)",NA,"(3.7003090573053266,)","(3.7003090573053266,)",0.0,0.0,0.0,0.0,0.0,1,2,history and drift,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)",NA,"(3.594128777084321,)","(3.594128777084321,)",0.0,0.0,0.0,0.0,0.0,1,2,history and drift,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)",NA,"(3.724145101270988,)","(3.724145101270988,)",0.0,0.0,0.0,0.0,0.0,1,2,history and drift,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)",NA,"(3.8662368319050984,)","(3.8662368319050984,)",0.0,0.0,0.0,0.0,0.0,1,2,history and drift,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)",NA,"(3.6970825012022046,)","(3.6970825012022046,)",0.0,0.0,0.0,0.0,0.0,1,2,history and drift,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)",NA,"(3.697732800526796,)","(3.697732800526796,)",0.0,0.0,0.0,0.0,0.0,1,2,history and drift,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)",NA,"(3.476531302334802,)","(3.476531302334802,)",0.0,0.0,0.0,0.0,0.0,1,2,history and drift,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)",NA,"(3.322776059644589,)","(3.322776059644589,)",0.0,0.0,0.0,0.0,0.0,1,2,history and drift,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)",NA,"(3.135522228415585,)","(3.135522228415585,)",0.0,0.0,0.0,0.0,0.0,1,2,history and drift,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)",NA,"(3.0156284044995356,)","(3.0156284044995356,)",0.0,0.0,0.0,0.0,0.0,1,2,history and drift,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)",NA,"(3.1943456927017806,)","(3.1943456927017806,)",0.0,0.0,0.0,0.0,0.0,1,2,history and drift,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)",NA,"(2.8845777722807897,)","(2.8845777722807897,)",0.0,0.0,0.0,0.0,0.0,1,2,history and drift,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)",NA,"(3.0312776033581175,)","(3.0312776033581175,)",0.0,0.0,0.0,0.0,0.0,1,2,history and drift,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)",NA,"(3.1966816592461775,)","(3.1966816592461775,)",0.0,0.0,0.0,0.0,0.0,1,2,history and drift,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)",NA,"(3.026358395698167,)","(3.026358395698167,)",0.0,0.0,0.0,0.0,0.0,1,2,history and drift,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)",NA,"(3.196123265670479,)","(3.196123265670479,)",0.0,0.0,0.0,0.0,0.0,1,2,history and drift,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)",NA,"(3.395576067063179,)","(3.395576067063179,)",0.0,0.0,0.0,0.0,0.0,1,2,history and drift,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)",NA,"(3.4225963369372527,)","(3.4225963369372527,)",0.0,0.0,0.0,0.0,0.0,1,2,history and drift,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)",NA,"(3.693166225962607,)","(3.693166225962607,)",0.0,0.0,0.0,0.0,0.0,1,2,history and drift,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)",NA,"(3.6432611692728716,)","(3.6432611692728716,)",0.0,0.0,0.0,0.0,0.0,1,2,history and drift,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)",NA,"(3.848383966911954,)","(3.848383966911954,)",0.0,0.0,0.0,0.0,0.0,1,2,history and drift,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)",NA,"(3.2102928343443438,)","(3.2102928343443438,)",0.0,0.0,0.0,0.0,0.0,1,2,history and drift,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)",NA,"(3.0716578429999375,)","(3.0716578429999375,)",0.0,0.0,0.0,0.0,0.0,1,2,history and drift,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)",NA,"(3.3596214242065336,)","(3.3596214242065336,)",0.0,0.0,0.0,0.0,0.0,1,2,history and drift,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)",NA,"(3.760284345958327,)","(3.760284345958327,)",0.0,0.0,0.0,0.0,0.0,1,2,history and drift,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)",NA,"(3.635154874030542,)","(3.635154874030542,)",0.0,0.0,0.0,0.0,0.0,1,2,history and drift,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)",NA,"(3.724107708740514,)","(3.724107708740514,)",0.0,0.0,0.0,0.0,0.0,1,2,history and drift,0
