Voter_A,Voter_B,Voter_C,Voter_D,Voter_E,VP_1,VP_2,VP_3,Status Quo,Policy Decision,Total Euclidean Distance,Total Manhattan Distance,Distance first dimension,Distance second dimension,Distance third dimension,Number of dimensions,Number of VPs,Model,Optimization?
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)","(2.5, 3.5)","(5.0, 4.5)","(3.7, 3.6)",1.5811388300841893,2.1999999999999997,1.2999999999999998,0.8999999999999999,1.5811388300841893,2,3,history,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)","(2.5, 3.5)","(3.0243877203399703, 2.92438772033997)","(3.0243877203399703, 2.92438772033997)",0.0,0.0,0.0,0.0,0.0,2,3,history,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)","(2.5, 3.5)","(2.0450917914857847, 1.9450917914857846)","(2.4000000000000004, 2.6)",0.7448923399056196,1.0098164170284312,0.3549082085142157,0.6549082085142155,0.7448923399056196,2,3,history,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)","(2.5, 3.5)","(1.6209664645254196, 1.8209664645254193)","(2.3000000000000003, 2.8000000000000003)",1.191466829535328,1.6580670709491616,0.6790335354745807,0.9790335354745809,1.191466829535328,2,3,history,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)","(2.5, 3.5)","(1.6706460914596384, 2.1706460914596386)","(2.0, 2.7)",0.6234497233600881,0.85870781708072319,0.3293539085403616,0.5293539085403616,0.6234497233600881,2,3,history,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)","(2.5, 3.5)","(0.9675549169015556, 1.6675549169015558)","(2.3000000000000003, 2.8000000000000003)",1.748668569428485,2.4648901661968892,1.3324450830984447,1.1324450830984445,1.748668569428485,2,3,history,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)","(2.5, 3.5)","(1.2847168833738696, 1.7847168833738696)","(2.2, 2.7)",1.2944057969437892,1.8305662332522612,0.9152831166261306,0.9152831166261306,1.2944057969437892,2,3,history,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)","(2.5, 3.5)","(1.0590082249720325, 1.5590082249720325)","(2.4000000000000004, 2.7)",1.7607160961876087,2.4819835500559355,1.3409917750279678,1.1409917750279677,1.7607160961876087,2,3,history,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)","(2.5, 3.5)","(1.3343353280850534, 1.6343353280850532)","(2.4000000000000004, 2.9000000000000004)",1.6545537932328347,2.3313293438298941,1.065664671914947,1.2656646719149471,1.6545537932328347,2,3,history,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)","(2.5, 3.5)","(1.0735237829296154, 1.5735237829296154)","(2.4000000000000004, 2.8000000000000003)",1.8065943278701617,2.5529524341407699,1.326476217070385,1.226476217070385,1.8065943278701617,2,3,history,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)","(2.5, 3.5)","(1.5286734432887954, 1.9286734432887953)","(2.1, 2.6)",0.8815290013092048,1.2426531134224095,0.5713265567112047,0.6713265567112048,0.8815290013092048,2,3,history,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)","(2.5, 3.5)","(0.6595202211460884, 1.1595202211460884)","(2.8000000000000003, 2.5)",2.5255771065637105,3.4809595577078234,2.140479778853912,1.3404797788539116,2.5255771065637105,2,3,history,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)","(2.5, 3.5)","(1.6725863956036375, 1.3725863956036373)","(2.7, 2.6)",1.6006632596383277,2.2548272087927255,1.0274136043963626,1.2274136043963628,1.6006632596383277,2,3,history,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)","(2.5, 3.5)","(1.851474610286362, 1.7514746102863619)","(2.5, 2.9000000000000004)",1.3189752658484886,1.7970507794272765,0.648525389713638,1.1485253897136385,1.3189752658484886,2,3,history,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)","(2.5, 3.5)","(1.6609961754009173, 2.0609961754009176)","(2.1, 2.7)",0.7752743036273532,1.0780076491981654,0.4390038245990828,0.6390038245990826,0.7752743036273532,2,3,history,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)","(2.5, 3.5)","(0.9080518984483072, 1.5080518984483073)","(2.4000000000000004, 2.5)",1.7916110554179185,2.4838962031033858,1.491948101551693,0.9919481015516927,1.7916110554179185,2,3,history,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)","(2.5, 3.5)","(1.1495083224652556, 1.2495083224652552)","(2.7, 2.6)",2.056174168983531,2.9009833550694895,1.5504916775347446,1.3504916775347449,2.056174168983531,2,3,history,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)","(2.5, 3.5)","(1.8742663487930433, 1.7742663487930432)","(2.5, 2.9000000000000004)",1.287951418226843,1.7514673024139138,0.6257336512069567,1.1257336512069571,1.287951418226843,2,3,history,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)","(2.5, 3.5)","(0.9727623975871849, 1.3727623975871852)","(2.6, 2.8000000000000003)",2.1644651506659303,3.0544752048256303,1.6272376024128152,1.427237602412815,2.1644651506659303,2,3,history,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)","(2.5, 3.5)","(1.3131745580007184, 1.5131745580007185)","(2.5, 2.8000000000000003)",1.7505640085279477,2.4736508839985634,1.1868254419992816,1.2868254419992817,1.7505640085279477,2,3,history,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)","(2.5, 3.5)","(1.36278994082134, 1.6627899408213402)","(2.3000000000000003, 2.6)",1.325415176482952,1.8744201183573201,0.9372100591786603,0.9372100591786598,1.325415176482952,2,3,history,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)","(2.5, 3.5)","(1.5264342925360115, 1.8264342925360113)","(2.2, 2.6)",1.025716659724178,1.4471314149279775,0.6735657074639887,0.7735657074639888,1.025716659724178,2,3,history,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)","(2.5, 3.5)","(1.3620787532948049, 1.7620787532948048)","(2.2, 2.6)",1.1849995912910591,1.6758424934103906,0.8379212467051953,0.8379212467051953,1.1849995912910591,2,3,history,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)","(2.5, 3.5)","(1.534242432060236, 1.9342424320602358)","(2.1, 2.6)",0.8736788683207273,1.2315151358795284,0.5657575679397642,0.6657575679397643,0.8736788683207273,2,3,history,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)","(2.5, 3.5)","(0.8206316343982509, 1.320631634398251)","(2.6, 2.5)",2.1347275053941615,2.9587367312034982,1.7793683656017492,1.179368365601749,2.1347275053941615,2,3,history,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)","(2.5, 3.5)","(1.6465161007744284, 1.5465161007744284)","(2.5, 2.5)",1.2796742993120107,1.8069677984511432,0.8534838992255716,0.9534838992255716,1.2796742993120107,2,3,history,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)","(2.5, 3.5)","(1.4726000019503451, 1.4726000019503451)","(2.5, 2.5)",1.4529630112239134,2.0547999960993097,1.0273999980496549,1.0273999980496549,1.4529630112239134,2,3,history,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)","(2.5, 3.5)","(1.4291265408313891, 1.4291265408313891)","(2.6, 2.7)",1.7280231499041498,2.441746918337222,1.170873459168611,1.270873459168611,1.7280231499041498,2,3,history,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)","(2.5, 3.5)","(2.0881484477379058, 2.188148447737906)","(2.3000000000000003, 2.7)",0.5539612727880663,0.72370310452418884,0.2118515522620945,0.5118515522620943,0.5539612727880663,2,3,history,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)","(2.5, 3.5)","(1.419463377692056, 1.819463377692056)","(2.2, 2.7)",1.1766826938428971,1.6610732446158885,0.7805366223079442,0.8805366223079443,1.1766826938428971,2,3,history,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)","(2.5, 3.5)","(1.0683267255765496, 1.5683267255765496)","(2.4000000000000004, 2.7)",1.747580644736594,2.4633465488469013,1.3316732744234507,1.1316732744234506,1.747580644736594,2,3,history,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)","(2.5, 3.5)","(1.1720377242940443, 1.4720377242940441)","(2.5, 2.7)",1.8086943236089097,2.5559245514119118,1.3279622757059557,1.227962275705956,1.8086943236089097,2,3,history,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)","(2.5, 3.5)","(1.809450519318926, 2.0094505193189263)","(2.2, 2.6)",0.7080095945627732,0.98109896136214791,0.3905494806810741,0.5905494806810738,0.7080095945627732,2,3,history,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)","(2.5, 3.5)","(1.5138060071058148, 1.9138060071058147)","(2.2, 3.0)",1.284787759158484,1.7723879857883706,0.6861939928941854,1.0861939928941853,1.284787759158484,2,3,history,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)","(2.5, 3.5)","(1.3420262440555988, 2.1420262440555984)","(1.9000000000000001, 2.8000000000000003)",0.8627074682847516,1.2159475118888032,0.5579737559444014,0.6579737559444019,0.8627074682847516,2,3,history,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)","(2.5, 3.5)","(1.0365542197539837, 1.9365542197539836)","(2.0, 2.7)",1.2292588136146532,1.726891560492033,0.9634457802460163,0.7634457802460166,1.2292588136146532,2,3,history,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)","(2.5, 3.5)","(1.01890377412558, 1.7189037741255802)","(2.2, 2.6)",1.4735395664945499,2.0621924517488401,1.1810962258744202,0.8810962258744199,1.4735395664945499,2,3,history,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)","(2.5, 3.5)","(0.9346530827835473, 1.3346530827835472)","(2.6, 2.6)",2.091526518022548,2.9306938344329057,1.6653469172164528,1.2653469172164529,2.091526518022548,2,3,history,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)","(2.5, 3.5)","(1.672121873448137, 1.672121873448137)","(2.4000000000000004, 2.5)",1.1023560039913027,1.5557562531037266,0.7278781265518635,0.8278781265518631,1.1023560039913027,2,3,history,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)","(2.5, 3.5)","(1.142406206509725, 1.2424062065097246)","(2.7, 2.6)",2.066194408482112,2.9151875869805508,1.5575937934902753,1.3575937934902755,2.066194408482112,2,3,history,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)","(2.5, 3.5)","(2.099911754850598, 1.999911754850598)","(2.4000000000000004, 2.6)",0.6709387877022289,0.90017649029880431,0.30008824514940224,0.6000882451494021,0.6709387877022289,2,3,history,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)","(2.5, 3.5)","(1.486452307217178, 1.6864523072171778)","(2.4000000000000004, 3.0)",1.599992790047472,2.2270953855656446,0.9135476927828223,1.3135476927828222,1.599992790047472,2,3,history,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)","(2.5, 3.5)","(0.917075505787218, 1.5170755057872176)","(2.4000000000000004, 2.6)",1.8362435883352315,2.5658489884255649,1.4829244942127824,1.0829244942127825,1.8362435883352315,2,3,history,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)","(2.5, 3.5)","(1.0280021999897173, 1.228002199989717)","(2.7, 2.5)",2.100846269118763,2.9439956000205658,1.6719978000102829,1.271997800010283,2.100846269118763,2,3,history,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)","(2.5, 3.5)","(1.9188545509025818, 1.7188545509025817)","(2.5, 2.6)",1.055531778522907,1.4622908981948366,0.5811454490974182,0.8811454490974184,1.055531778522907,2,3,history,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)","(2.5, 3.5)","(1.4593476842517432, 1.5593476842517433)","(2.5, 2.9000000000000004)",1.6971463914445841,2.3813046314965138,1.0406523157482568,1.340652315748257,1.6971463914445841,2,3,history,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)","(2.5, 3.5)","(1.5558056179579656, 1.955805617957966)","(2.1, 2.6)",0.8432875709392557,1.1883887640840687,0.5441943820420345,0.6441943820420342,0.8432875709392557,2,3,history,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)","(2.5, 3.5)","(1.01031318205821, 1.51031318205821)","(2.4000000000000004, 2.5)",1.7060801416020657,2.3793736358835802,1.3896868179417903,0.9896868179417899,1.7060801416020657,2,3,history,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)","(2.5, 3.5)","(1.22705525967498, 1.3270552596749796)","(2.6, 2.5)",1.8057620618016834,2.5458894806500405,1.3729447403250201,1.1729447403250204,1.8057620618016834,2,3,history,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)","(2.5, 3.5)","(1.9965049833664554, 1.8965049833664553)","(2.4000000000000004, 2.5)",0.7259576182874776,1.0069900332670896,0.4034950166335449,0.6034950166335447,0.7259576182874776,2,3,history,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)","(2.5, 3.5)","(1.4700198572999075, 1.5700198572999071)","(2.5, 2.9000000000000004)",1.6821730809679079,2.3599602854001858,1.0299801427000925,1.3299801427000932,1.6821730809679079,2,3,history,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)","(2.5, 3.5)","(1.516807192834864, 1.9168071928348644)","(2.2, 3.0)",1.280647909948892,1.7663856143302716,0.6831928071651361,1.0831928071651356,1.280647909948892,2,3,history,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)","(2.5, 3.5)","(1.0279250984664536, 1.8279250984664535)","(2.1, 2.6)",1.3211526210382354,1.8441498030670931,1.0720749015335465,0.7720749015335466,1.3211526210382354,2,3,history,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)","(2.5, 3.5)","(1.1184299798987927, 1.6184299798987927)","(2.3000000000000003, 2.6)",1.5360948592985568,2.163140040202415,1.1815700201012076,0.9815700201012074,1.5360948592985568,2,3,history,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)","(2.5, 3.5)","(1.1758301402569153, 1.4758301402569152)","(2.5, 2.7)",1.8033351499251118,2.5483397194861697,1.3241698597430847,1.224169859743085,1.8033351499251118,2,3,history,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)","(2.5, 3.5)","(1.4568136048874647, 1.6568136048874649)","(2.4000000000000004, 2.8000000000000003)",1.482051183291513,2.086372790225071,0.9431863951125357,1.1431863951125354,1.482051183291513,2,3,history,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)","(2.5, 3.5)","(1.738965978873112, 2.138965978873112)","(2.1, 2.8000000000000003)",0.7532008639786824,1.0220680422537762,0.3610340211268881,0.6610340211268881,0.7532008639786824,2,3,history,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)","(2.5, 3.5)","(0.7114791235289712, 1.4114791235289714)","(2.6, 2.8000000000000003)",2.3440352653624426,3.2770417529420577,1.8885208764710288,1.3885208764710288,2.3440352653624426,2,3,history,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)","(2.5, 3.5)","(1.539205039411049, 1.7392050394110492)","(2.3000000000000003, 2.6)",1.1488154491618214,1.6215899211779021,0.7607949605889512,0.8607949605889509,1.1488154491618214,2,3,history,0
