Voter_A,Voter_B,Voter_C,Voter_D,Voter_E,VP_1,VP_2,VP_3,Status Quo,Policy Decision,Total Euclidean Distance,Total Manhattan Distance,Distance first dimension,Distance second dimension,Distance third dimension,Number of dimensions,Number of VPs,Model,Optimization?
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)","(2.5, 3.5)","(5.0, 4.5)","(3.7, 3.6)",1.5811388300841893,2.1999999999999997,1.2999999999999998,0.8999999999999999,1.5811388300841893,2,3,history and drift,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)","(2.5, 3.5)","(4.006993482388675, 3.4069934823886747)","(3.6, 3.3000000000000003)",0.42082217144598794,0.51398696477734962,0.40699348238867517,0.10699348238867445,0.42082217144598794,2,3,history and drift,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)","(2.5, 3.5)","(3.1188088952996202, 2.3188088952996204)","(3.2, 2.7)",0.3897417783419734,0.46238220940075969,0.08119110470037993,0.38119110470037976,0.3897417783419734,2,3,history and drift,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)","(2.5, 3.5)","(2.8803806379677717, 1.8803806379677719)","(3.1, 2.5)",0.6573893960086886,0.83923872406445654,0.21961936203222843,0.6196193620322281,0.6573893960086886,2,3,history and drift,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)","(2.5, 3.5)","(2.924379682845472, 1.824379682845472)","(3.2, 2.6)",0.8231363408398719,1.0512406343090566,0.2756203171545284,0.7756203171545282,0.8231363408398719,2,3,history and drift,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)","(2.5, 3.5)","(3.4342580288217484, 2.3342580288217487)","(3.5, 2.7)",0.3716035471517394,0.43148394235650311,0.06574197117825165,0.36574197117825147,0.3716035471517394,2,3,history and drift,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)","(2.5, 3.5)","(4.113314154847909, 2.813314154847909)","(4.0, 2.8000000000000003)",0.11409366506607588,0.12662830969581718,0.11331415484790863,0.013314154847908544,0.11409366506607588,2,3,history and drift,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)","(2.5, 3.5)","(3.51083106473866, 1.81083106473866)","(3.7, 2.5)",0.7146598543343247,0.87833787052268031,0.18916893526134038,0.6891689352613399,0.7146598543343247,2,3,history and drift,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)","(2.5, 3.5)","(3.560883469490033, 1.8608834694900331)","(3.7, 2.5)",0.6540820656708362,0.77823306101993395,0.13911653050996708,0.6391165305099669,0.6540820656708362,2,3,history and drift,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)","(2.5, 3.5)","(3.7780457040080435, 2.0780457040080433)","(3.8000000000000003, 2.5)",0.42252505135029594,0.44390859198391341,0.02195429599195675,0.42195429599195666,0.42252505135029594,2,3,history and drift,0
