Voter_A,Voter_B,Voter_C,Voter_D,Voter_E,VP_1,VP_2,VP_3,Status Quo,Policy Decision,Total Euclidean Distance,Total Manhattan Distance,Distance first dimension,Distance second dimension,Distance third dimension,Number of dimensions,Number of VPs,Model,Optimization?
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)","(2.5,)","(5.0,)","(5.0,)",0.0,0.0,0.0,0.0,0.0,1,3,random,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)","(2.5,)","(-0.1446609940270005,)",2.1,2.244660994027001,2.2446609940270008,2.244660994027001,2.244660994027001,2.244660994027001,1,3,random,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)","(2.5,)","(8.74865044712248,)",8.0,0.7486504471224809,0.74865044712248086,0.7486504471224809,0.7486504471224809,0.7486504471224809,1,3,random,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)","(2.5,)","(6.592013567881149,)","(6.592013567881149,)",0.0,0.0,0.0,0.0,0.0,1,3,random,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)","(2.5,)","(2.4252796778797316,)","(2.4252796778797316,)",0.0,0.0,0.0,0.0,0.0,1,3,random,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)","(2.5,)","(0.14574612429467204,)",1.8,1.654253875705328,1.654253875705328,1.654253875705328,1.654253875705328,1.654253875705328,1,3,random,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)","(2.5,)","(-0.3728550816650613,)",2.3000000000000003,2.6728550816650616,2.6728550816650616,2.6728550816650616,2.6728550816650616,2.6728550816650616,1,3,random,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)","(2.5,)","(-0.20432765428486344,)",2.2,2.4043276542848635,2.4043276542848635,2.4043276542848635,2.4043276542848635,2.4043276542848635,1,3,random,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)","(2.5,)","(8.438032970218798,)",8.0,0.4380329702187975,0.4380329702187975,0.4380329702187975,0.4380329702187975,0.4380329702187975,1,3,random,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)","(2.5,)","(8.93792555879326,)",8.0,0.9379255587932604,0.93792555879326045,0.9379255587932604,0.9379255587932604,0.9379255587932604,1,3,random,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)","(2.5,)","(5.570108991851023,)","(5.570108991851023,)",0.0,0.0,0.0,0.0,0.0,1,3,random,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)","(2.5,)","(5.603086613385073,)","(5.603086613385073,)",0.0,0.0,0.0,0.0,0.0,1,3,random,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)","(2.5,)","(3.4143405380341694,)","(3.4143405380341694,)",0.0,0.0,0.0,0.0,0.0,1,3,random,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)","(2.5,)","(1.2158504231217702,)","(1.2158504231217702,)",0.0,0.0,0.0,0.0,0.0,1,3,random,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)","(2.5,)","(4.869865184178677,)","(4.869865184178677,)",0.0,0.0,0.0,0.0,0.0,1,3,random,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)","(2.5,)","(1.3969250739194432,)","(1.3969250739194432,)",0.0,0.0,0.0,0.0,0.0,1,3,random,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)","(2.5,)","(4.666598209223464,)","(4.666598209223464,)",0.0,0.0,0.0,0.0,0.0,1,3,random,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)","(2.5,)","(7.951716400004477,)","(7.951716400004477,)",0.0,0.0,0.0,0.0,0.0,1,3,random,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)","(2.5,)","(2.1819843444902087,)","(2.1819843444902087,)",0.0,0.0,0.0,0.0,0.0,1,3,random,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)","(2.5,)","(6.000555835739448,)","(6.000555835739448,)",0.0,0.0,0.0,0.0,0.0,1,3,random,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)","(2.5,)","(8.606082526140364,)",8.0,0.606082526140364,0.60608252614036395,0.606082526140364,0.606082526140364,0.606082526140364,1,3,random,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)","(2.5,)","(5.028893623882993,)","(5.028893623882993,)",0.0,0.0,0.0,0.0,0.0,1,3,random,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)","(2.5,)","(2.563222371264044,)","(2.563222371264044,)",0.0,0.0,0.0,0.0,0.0,1,3,random,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)","(2.5,)","(2.5580316323215047,)","(2.5580316323215047,)",0.0,0.0,0.0,0.0,0.0,1,3,random,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)","(2.5,)","(1.0054034837644903,)","(1.0054034837644903,)",0.0,0.0,0.0,0.0,0.0,1,3,random,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)","(2.5,)","(9.308884543955642,)",8.0,1.3088845439556422,1.3088845439556422,1.3088845439556422,1.3088845439556422,1.3088845439556422,1,3,random,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)","(2.5,)","(4.046243802734873,)","(4.046243802734873,)",0.0,0.0,0.0,0.0,0.0,1,3,random,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)","(2.5,)","(4.852179212152171,)","(4.852179212152171,)",0.0,0.0,0.0,0.0,0.0,1,3,random,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)","(2.5,)","(3.830451960245792,)","(3.830451960245792,)",0.0,0.0,0.0,0.0,0.0,1,3,random,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)","(2.5,)","(1.8393832291653627,)","(1.8393832291653627,)",0.0,0.0,0.0,0.0,0.0,1,3,random,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)","(2.5,)","(3.623548381516864,)","(3.623548381516864,)",0.0,0.0,0.0,0.0,0.0,1,3,random,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)","(2.5,)","(0.4342762182965163,)",1.5,1.0657237817034837,1.0657237817034837,1.0657237817034837,1.0657237817034837,1.0657237817034837,1,3,random,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)","(2.5,)","(0.9196029336883671,)",1.0,0.0803970663116329,0.080397066311632903,0.0803970663116329,0.0803970663116329,0.0803970663116329,1,3,random,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)","(2.5,)","(4.0279348848792695,)","(4.0279348848792695,)",0.0,0.0,0.0,0.0,0.0,1,3,random,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)","(2.5,)","(4.581039048029371,)","(4.581039048029371,)",0.0,0.0,0.0,0.0,0.0,1,3,random,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)","(2.5,)","(8.456608686465987,)",8.0,0.4566086864659873,0.45660868646598729,0.4566086864659873,0.4566086864659873,0.4566086864659873,1,3,random,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)","(2.5,)","(4.393956426551953,)","(4.393956426551953,)",0.0,0.0,0.0,0.0,0.0,1,3,random,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)","(2.5,)","(-0.5198956483014384,)",2.5,3.0198956483014383,3.0198956483014383,3.0198956483014383,3.0198956483014383,3.0198956483014383,1,3,random,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)","(2.5,)","(5.278194826931751,)","(5.278194826931751,)",0.0,0.0,0.0,0.0,0.0,1,3,random,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)","(2.5,)","(4.151072314304588,)","(4.151072314304588,)",0.0,0.0,0.0,0.0,0.0,1,3,random,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)","(2.5,)","(0.5757459593030065,)",1.4000000000000001,0.8242540406969936,0.8242540406969936,0.8242540406969936,0.8242540406969936,0.8242540406969936,1,3,random,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)","(2.5,)","(0.2865921197426675,)",1.7000000000000002,1.4134078802573327,1.4134078802573327,1.4134078802573327,1.4134078802573327,1.4134078802573327,1,3,random,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)","(2.5,)","(1.1180520699892105,)","(1.1180520699892105,)",0.0,0.0,0.0,0.0,0.0,1,3,random,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)","(2.5,)","(0.10773809133944678,)",1.8,1.6922619086605533,1.6922619086605533,1.6922619086605533,1.6922619086605533,1.6922619086605533,1,3,random,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)","(2.5,)","(6.219293616380056,)","(6.219293616380056,)",0.0,0.0,0.0,0.0,0.0,1,3,random,0
