Voter_A,Voter_B,Voter_C,Voter_D,Voter_E,VP_1,VP_2,VP_3,Status Quo,Policy Decision,Total Euclidean Distance,Total Manhattan Distance,Distance first dimension,Distance second dimension,Distance third dimension,Number of dimensions,Number of VPs,Model,Optimization?
"(1.0, 3.0, 4.5)","(4.0, 2.5, 3.5)","(3.0, 6.0, 2.0)","(2.0, 4.5, 2.5)","(2.5, 3.5, 5.0)","(1.0, 3.0, 4.5)","(3.0, 6.0, 2.0)","(2.5, 3.5, 5.0)","(5.0, 4.5, 4.0)","(3.5, 3.0, 3.0)",2.345207879911715,4.0,1.5,1.5,1.0,3,3,history and drift,0
"(1.0, 3.0, 4.5)","(4.0, 2.5, 3.5)","(3.0, 6.0, 2.0)","(2.0, 4.5, 2.5)","(2.5, 3.5, 5.0)","(1.0, 3.0, 4.5)","(3.0, 6.0, 2.0)","(2.5, 3.5, 5.0)","(3.9224624744698464, 2.9224624744698464, 1.9224624744698464)","(3.5, 3.0, 3.0)",1.1599886762922176,1.5775375255301536,0.4224624744698464,0.07753752553015358,1.0775375255301536,3,3,history and drift,0
"(1.0, 3.0, 4.5)","(4.0, 2.5, 3.5)","(3.0, 6.0, 2.0)","(2.0, 4.5, 2.5)","(2.5, 3.5, 5.0)","(1.0, 3.0, 4.5)","(3.0, 6.0, 2.0)","(2.5, 3.5, 5.0)","(3.2687848127790353, 2.2687848127790353, 1.2687848127790353)","(4.0, 2.5, 3.0)",1.8934735639265567,2.693645561662894,0.7312151872209647,0.23121518722096468,1.7312151872209647,3,3,history and drift,0
"(1.0, 3.0, 4.5)","(4.0, 2.5, 3.5)","(3.0, 6.0, 2.0)","(2.0, 4.5, 2.5)","(2.5, 3.5, 5.0)","(1.0, 3.0, 4.5)","(3.0, 6.0, 2.0)","(2.5, 3.5, 5.0)","(4.168363815733066, 2.1683638157330662, 1.6683638157330662)","(4.0, 2.5, 3.5)",1.869015795727597,2.3316361842669338,0.16836381573306625,0.33163618426693375,1.8316361842669338,3,3,history and drift,0
"(1.0, 3.0, 4.5)","(4.0, 2.5, 3.5)","(3.0, 6.0, 2.0)","(2.0, 4.5, 2.5)","(2.5, 3.5, 5.0)","(1.0, 3.0, 4.5)","(3.0, 6.0, 2.0)","(2.5, 3.5, 5.0)","(4.105888753663615, 2.1058887536636153, 2.1058887536636153)","(4.0, 2.5, 3.5)",1.4526122227913547,1.8941112463363847,0.10588875366361528,0.3941112463363847,1.3941112463363847,3,3,history and drift,0
"(1.0, 3.0, 4.5)","(4.0, 2.5, 3.5)","(3.0, 6.0, 2.0)","(2.0, 4.5, 2.5)","(2.5, 3.5, 5.0)","(1.0, 3.0, 4.5)","(3.0, 6.0, 2.0)","(2.5, 3.5, 5.0)","(3.913435458086422, 1.9134354580864221, 1.913435458086422)","(4.0, 2.5, 3.5)",1.6937350523043546,2.2596936257407343,0.0865645419135781,0.5865645419135779,1.586564541913578,3,3,history and drift,0
"(1.0, 3.0, 4.5)","(4.0, 2.5, 3.5)","(3.0, 6.0, 2.0)","(2.0, 4.5, 2.5)","(2.5, 3.5, 5.0)","(1.0, 3.0, 4.5)","(3.0, 6.0, 2.0)","(2.5, 3.5, 5.0)","(4.209642724597927, 2.209642724597927, 2.209642724597927)","(4.0, 2.5, 3.5)",1.3391337937408714,1.7903572754020729,0.2096427245979271,0.2903572754020729,1.290357275402073,3,3,history and drift,0
"(1.0, 3.0, 4.5)","(4.0, 2.5, 3.5)","(3.0, 6.0, 2.0)","(2.0, 4.5, 2.5)","(2.5, 3.5, 5.0)","(1.0, 3.0, 4.5)","(3.0, 6.0, 2.0)","(2.5, 3.5, 5.0)","(4.029959663953662, 2.0299596639536617, 2.0299596639536617)","(4.0, 2.5, 3.5)",1.5436496003232087,1.9700403360463383,0.029959663953661675,0.4700403360463383,1.4700403360463383,3,3,history and drift,0
"(1.0, 3.0, 4.5)","(4.0, 2.5, 3.5)","(3.0, 6.0, 2.0)","(2.0, 4.5, 2.5)","(2.5, 3.5, 5.0)","(1.0, 3.0, 4.5)","(3.0, 6.0, 2.0)","(2.5, 3.5, 5.0)","(3.707359787310622, 1.7073597873106219, 1.7073597873106219)","(4.0, 2.5, 3.5)",1.981785995763964,2.8779206380681344,0.2926402126893781,0.7926402126893781,1.7926402126893781,3,3,history and drift,0
"(1.0, 3.0, 4.5)","(4.0, 2.5, 3.5)","(3.0, 6.0, 2.0)","(2.0, 4.5, 2.5)","(2.5, 3.5, 5.0)","(1.0, 3.0, 4.5)","(3.0, 6.0, 2.0)","(2.5, 3.5, 5.0)","(4.346721308603261, 2.346721308603261, 2.346721308603261)","(3.5, 2.5, 3.5)",1.4389173262244397,2.1532786913967392,0.8467213086032608,0.15327869139673922,1.1532786913967392,3,3,history and drift,0
"(1.0, 3.0, 4.5)","(4.0, 2.5, 3.5)","(3.0, 6.0, 2.0)","(2.0, 4.5, 2.5)","(2.5, 3.5, 5.0)","(1.0, 3.0, 4.5)","(3.0, 6.0, 2.0)","(2.5, 3.5, 5.0)","(3.4882860100319295, 1.9882860100319297, 1.9882860100319295)","(4.0, 2.5, 3.5)",1.676001671396323,2.5351419699042115,0.5117139899680705,0.5117139899680703,1.5117139899680705,3,3,history and drift,0
"(1.0, 3.0, 4.5)","(4.0, 2.5, 3.5)","(3.0, 6.0, 2.0)","(2.0, 4.5, 2.5)","(2.5, 3.5, 5.0)","(1.0, 3.0, 4.5)","(3.0, 6.0, 2.0)","(2.5, 3.5, 5.0)","(4.106709899250035, 2.106709899250035, 2.106709899250035)","(4.0, 2.5, 3.5)",1.451661603402707,1.8932901007499652,0.10670989925003482,0.3932901007499652,1.3932901007499652,3,3,history and drift,0
"(1.0, 3.0, 4.5)","(4.0, 2.5, 3.5)","(3.0, 6.0, 2.0)","(2.0, 4.5, 2.5)","(2.5, 3.5, 5.0)","(1.0, 3.0, 4.5)","(3.0, 6.0, 2.0)","(2.5, 3.5, 5.0)","(3.9088407601576147, 1.9088407601576145, 1.9088407601576147)","(4.0, 2.5, 3.5)",1.6998726365217678,2.2734777195271558,0.09115923984238528,0.5911592398423855,1.5911592398423853,3,3,history and drift,0
"(1.0, 3.0, 4.5)","(4.0, 2.5, 3.5)","(3.0, 6.0, 2.0)","(2.0, 4.5, 2.5)","(2.5, 3.5, 5.0)","(1.0, 3.0, 4.5)","(3.0, 6.0, 2.0)","(2.5, 3.5, 5.0)","(4.353492087225611, 2.3534920872256113, 2.3534920872256113)","(3.5, 2.5, 3.5)",1.4367998140021188,2.1465079127743882,0.8534920872256109,0.14650791277438868,1.1465079127743887,3,3,history and drift,0
