Voter_A,Voter_B,Voter_C,Voter_D,Voter_E,VP_1,VP_2,VP_3,Status Quo,Policy Decision,Total Euclidean Distance,Total Manhattan Distance,Distance first dimension,Distance second dimension,Distance third dimension,Number of dimensions,Number of VPs,Model,Optimization?
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)","(2.5, 3.5)","(5.0, 4.5)","(3.7, 3.6)",1.5811388300841893,2.1999999999999997,1.2999999999999998,0.8999999999999999,1.5811388300841893,2,3,random,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)","(2.5, 3.5)","(-0.7998284159298962, 0.2517015238701482)","(4.0, 2.5)",5.300301770667017,7.0481268920597486,4.7998284159298965,2.2482984761298517,5.300301770667017,2,3,random,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)","(2.5, 3.5)","(1.6109808829817804, 3.510171148239678)","(1.6109808829817804, 3.510171148239678)",0.0,0.0,0.0,0.0,0.0,2,3,random,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)","(2.5, 3.5)","(5.894740934719692, 6.72911372767932)","(3.7, 3.1)",4.2411501056865175,5.8238546623990128,2.1947409347196922,3.62911372767932,4.2411501056865175,2,3,random,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)","(2.5, 3.5)","(8.940191850389073, 5.672072724889204)","(4.0, 2.5)",5.870906309134615,8.112264575278278,4.940191850389073,3.1720727248892038,5.870906309134615,2,3,random,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)","(2.5, 3.5)","(7.909517898178264, -0.11629126180806204)","(4.0, 2.5)",4.70418007338042,6.5258091599863262,3.9095178981782643,2.616291261808062,4.70418007338042,2,3,random,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)","(2.5, 3.5)","(7.451727492416749, 3.278967566958759)","(4.0, 2.5)",3.5385326269909205,4.2306950593755079,3.451727492416749,0.7789675669587588,3.5385326269909205,2,3,random,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)","(2.5, 3.5)","(7.858412206760488, -0.8701551950560593)","(4.0, 2.5)",5.123015791117736,7.228567401816548,3.8584122067604882,3.3701551950560593,5.123015791117736,2,3,random,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)","(2.5, 3.5)","(1.8672223135581116, 0.10042536294029913)","(3.9000000000000004, 2.5)",3.1448598635418135,4.4323523235015898,2.0327776864418885,2.399574637059701,3.1448598635418135,2,3,random,0
"(1.0, 3.0)","(4.0, 2.5)","(3.0, 6.0)","(2.0, 4.5)","(2.5, 3.5)","(1.0, 3.0)","(3.0, 6.0)","(2.5, 3.5)","(-0.9905397260830371, 6.0396386278929155)","(4.0, 2.5)",6.11837628572194,8.5301783539759519,4.990539726083037,3.5396386278929155,6.11837628572194,2,3,random,0
