Voter_A,Voter_B,Voter_C,Voter_D,Voter_E,VP_1,VP_2,VP_3,Status Quo,Policy Decision,Total Euclidean Distance,Total Manhattan Distance,Distance first dimension,Distance second dimension,Distance third dimension,Number of dimensions,Number of VPs,Model,Optimization?
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)","(2.5,)","(5.0,)","(5.0,)",0.0,0.0,0.0,0.0,0.0,1,3,history,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)","(2.5,)","(4.303820800985549,)","(4.303820800985549,)",0.0,0.0,0.0,0.0,0.0,1,3,history,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)","(2.5,)","(3.114347071446776,)","(3.114347071446776,)",0.0,0.0,0.0,0.0,0.0,1,3,history,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)","(2.5,)","(2.024855910964482,)","(2.024855910964482,)",0.0,0.0,0.0,0.0,0.0,1,3,history,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)","(2.5,)","(0.8405285568281973,)",1.1,0.2594714431718028,0.25947144317180282,0.2594714431718028,0.2594714431718028,0.2594714431718028,1,3,history,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)","(2.5,)","(0.13410308267235937,)",1.8,1.6658969173276406,1.6658969173276406,1.6658969173276406,1.6658969173276406,1.6658969173276406,1,3,history,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)","(2.5,)","(0.7117003935903499,)",1.2000000000000002,0.4882996064096503,0.48829960640965031,0.4882996064096503,0.4882996064096503,0.4882996064096503,1,3,history,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)","(2.5,)","(-0.11762795943553739,)",2.1,2.2176279594355375,2.2176279594355375,2.2176279594355375,2.2176279594355375,2.2176279594355375,1,3,history,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)","(2.5,)","(1.3666319856151716,)","(1.3666319856151716,)",0.0,0.0,0.0,0.0,0.0,1,3,history,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)","(2.5,)","(0.6904184472359296,)",1.3,0.6095815527640704,0.60958155276407044,0.6095815527640704,0.6095815527640704,0.6095815527640704,1,3,history,0
"(1.0,)","(8.0,)","(3.0,)","(2.0,)","(2.5,)","(1.0,)","(3.0,)","(2.5,)","(0.14880742745603626,)",1.8,1.6511925725439638,1.6511925725439638,1.6511925725439638,1.6511925725439638,1.6511925725439638,1,3,history,0
